title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Beautiful Illusions	Singaporean	2005		Channel 8			20	Fann Wong, Thomas Ong, Qi Yuwu, Yvonne Lim, Jimmy Nah, Nick Shen, Yan Bingliang, Lin Liyun, Joey Ng	Beautiful Illusions (镜中人) is a Singaporean TV series which aired in 2005. It stars Fann Wong in two diverse roles - a quiet and undistinguished cartoon illustrator with a quirky sense of style (Yixin), and a fashionable, vampy air stewardess who lives the high life on her motorbike (Joe Ann). The series title literally means "person in the mirror" and alludes to the main character.		
You Are the One	Singaporean	2005	creator              =		Creativedirector		25	Adia Chan, Jacelyn Tay, Rui En, Chew Chor Meng, Christopher Lee, Terence Cao, Zhang Xinxiang, Richard Low	You Are The One (½缘分) is a 25 episode Singaporean Chinese drama series aired on MediaCorp TV Channel 8. The show stars Hong Kong actress Adia Chan, Chew Chor Meng, Jacelyn Tay, Christopher Lee, Rui En, Terence Cao and Richard Low.		
My 19 Year Old Sister-in-Law	South Korean	2004	Comedy, Drama, Romance film	Seoul Broadcasting System	Lee Chang Han	Goo Bon Geun	16	Jeong Da Bin, Yoon Kye Sang, Kim Jaewon, Kim Min Hee, Seo Ji Hee, Seo Ji Hye, Heo Jung Min, Lee Hye Sook, Park Won Sook, Lee Bo Hee, Hong Yo Seob, Yoon Joo Sang, Kang Ye Won, Kim Seung Min, Seo Dong Won, Im Hyun Kyung, Woo Kyung Ah			
A Promise for Tomorrow	Singaporean	2005	Family	Channel 8			20	Rui En, Chen Xiuhuan, Huang Wenyong, Qi Yuwu, Nick Shen, Ix Shen, Constance Song, Eelyn Kok, Mark Lee, Chen Tianwen, Lin Meijiao	A Promise For Tomorrow () is a Singaporean Chinese drama series which aired on Mediacorp TV Channel 8 in 2005. Former actress Chen Xiuhuan, who had effectively retired from showbiz during the 1990s, made a temporary return to acting for the drama.	Wendy Teo of The New Paper rated it as 4 stars out of 5.&lt;ref name=&quot;:0&quot; /&gt;	
Spice Siblings	Singaporean							Ye Shipin, Tay Ping Hui, Jeanette Aw, Andrew Seow, Cynthia Koh, Le Yao, Teo Ser Li	Spice Siblings (辣兄辣妹) is a Chinese show in Singapore, aired in 2004 starring Tay Ping Hui, Jeanette Aw, Cynthia Koh, Andrew Seow and Le Yao. This show is also very well known to the MediaCorp TV Channel 8 viewer's community as the show with the "hot kiss" by Tay Ping Hui and Jeanette Aw. This series repeated on Tue - Sat at 12am, succeeding Hainan Kopi Tales.		
Baby Blues	Singaporean	2005		Channel 8			20	Chen Liping, Xie Shaoguang, Le Yao, Mimi Chu, Michelle Chong, Chen Hanwei, Angel Hou, Jin Yinji, Allan Wu, Joey Swee, Rachell Ng Ting Yi	Baby Blues (, lit "Whose hen doesn't lay eggs?") is a Chinese drama produced in Singapore and broadcast in 2005.		
Saksi	Philippine	1995	News broadcasting	GMA Network	Conrado Lumabas Iii				() formerly known as : GMA Headline and is a Philippine television news broadcasting show broadcast by GMA Network. Originally anchored by Mike Enriquez and Karen Davila, it premiered on October 2, 1995, on the network's evening line up. Pia Arcangel currently serves as the anchor. It is the longest-running news broadcasting show of GMA Network.		
Juukou B-Fighter	Japanese	1995	Military fiction, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network, TV Asahi	Shinichiro Sawai		53		, is a 1995 Japanese tokusatsu television series. B-Fighter is short for "Beetle Fighter". It was part of Toei's Metal Hero Series franchise. It dealt with three members of the prestigious fighting against the evil forces of the otherworldly Jamahl Empire. The action footage and props were reused for the U.S. adaptation of Big Bad Beetleborgs and it was followed by spin-off series; B-Fighter Kabuto.		
CMG New Year's Gala	Chinese	1983	creator              =		Various				The CMG New Year's Gala, formerly known as the CCTV New Year's Gala, also known as the Spring Festival Gala, and commonly abbreviated in Chinese as Chunwan (), is a Chinese New Year special produced by China Media Group (CMG). It is broadcast annually on the Chinese New Year's Eve on its flagship CCTV-1 and internationally through the China Global Television Network The Gala has the largest audience of any entertainment show in the world, and is recognized by Guinness World Records as the world'...		
Asadora	Japanese								Asadora 0 3604963 1319474283 1313938355 2025-10-30T01:41:36Z Martinc1994 32230461 /* List of series */ I just realized the premiere date was still in the Heisei era 1319474283 wikitext text/x-wiki , colloquially known as , is a serialized, 15 minutes per episode, Japanese television drama program series broadcast in the mornings by Japanese public broadcaster NHK. The first such series aired in 1961 with the black-and-white , starring Takeshi Kitazawa which aired in Japan Monday through Friday m...		
Kamen Rider Kabuto	Japanese	2006	Action film, Biopunk, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network	Ryuta Tasaki	Atsushi Kaji, Ltsmall, Gt, Lt, Small, Gt Shinichiro Shirakura, Gt Naomi Takebe	49		is a Japanese tokusatsu superhero television series. It is the sixteenth installment in the popular Kamen Rider Series of tokusatsu programs. It is a joint collaboration between Asatsu-DK and Toei. The series was broadcast on TV Asahi. The first episode aired on January 29, 2006, and with the final episode airing on January 21, 2007, completing the series with 49 episodes. It aired as a part of the Super Hero Time slot alongside GoGo Sentai Boukenger. It is the series that revolves around insect...		
Ninja Captor	Japanese	1976	Tokusatsu	TV Tokyo	Hideo Tanaka Hideo Tanaka		43		is a Japanese tokusatsu TV series which aired from April 7, 1976, to January 26, 1977. It appeared on TV Tokyo, Channel 12, and was produced by Toei Company, Ltd. Ninja Captor is similar to Toei's own Super Sentai series (it has been sometimes included in Super Sentai chronology as the second installment) and aired during the run of Himitsu Sentai Gorenger.		
Frontpage: Ulat ni Mel Tiangco	Philippine	1999	News broadcasting	GMA Network	Joel San Luis				Frontpage: Mel Tiangco () is a Philippine television news broadcasting show broadcast by GMA Network. Anchored by Mel Tiangco, it premiered on August 16, 1999, on the network's evening line up. The show concluded on March 12, 2004.		
First Love of a Royal Prince	South Korean	2004	Comedy, Drama, Romance film	Munhwa Broadcasting Corporation	Lee Kwan Hee	Lee Eun Kyu	18	Sung Yu Ri, Cha Tae Hyun, Kim Nam Jin, Lee Deok Hwa, Chang Mi Hee, Kim Chang Wan, Lee Ki Young, Yoo Chae Yeong, Song Jong Ho, Jeong Jun Ha, Jeon Hye Bin, Jin Ji Hee, Jin Jae Young, Jennie Lee, Kim Young Joon, Kwon Ki Sun, Seo Il Hyun	First Love of a Royal Prince (; also known as A Prince's First Love) is a 2004 South Korean television series starring Sung Yu-ri, Cha Tae-hyun, Kim Nam-jin and Jin Jae-young. It aired on MBC from June 23 to August 26, 2004 on Wednesdays and Thursdays at 21:55 for 18 episodes.		
Kamen Rider X	Japanese	1974	Action fiction, Adventure, Fantasy, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network, TV Asahi	Itaru Orita		35	Ryo Hayami, Naoko Miyama, Jun Tazaki, Akiji Kobayashi, Chisako Kosaka, Miyuki Hayata, Yasuhiko Uchida, Osamu Saka, Fumio Wada, Shinji Nakae	Kamen Rider X 0 3640569 1294574244 1294237651 2025-06-08T14:36:30Z Flower Pot Zip 45473882 1294574244 wikitext text/x-wiki is a Japanese tokusatsu superhero television series. It was broadcast in 1974 on the Mainichi Broadcasting System and NET, now known as TV Asahi. It is the third entry in the Kamen Rider Series of tokusatsu shows. It starred Ryo Hayami in the title role.		
Foreign Babes in Beijing	Chinese								Foreign Babes in Beijing 0 3654185 1319532482 1185947448 2025-10-30T11:13:05Z Audacity 531901 /* top */ WP:SPAM 1319532482 wikitext text/x-wiki Foreign Babes in Beijing, subtitled Behind the Scenes of a New China, is a memoir published in 2005 by Rachel DeWoskin. The memoir details the author's personal experiences in Beijing from 1994 through 1999, during which time she lived in Beijing and watched the city grow and change as China modernized its economy. The book's title is a reference to a so...		
War and Destiny	Hong Kong	2007	Period Drama	Television Broadcasts Limited			27	Ron Ng, Myolie Wu, Sunny Chan, Lau Dan, Leila Tong, Halina Tam, Angelina Lo, Bill Chan, Mandy Cho, Anita Kwan, Charmaine Li, Casper Chan, Mary Hon, Kwok Fung, Akina Hong	War and Destiny (Traditional Chinese: 亂世佳人) is a TVB period drama series released overseas in July 2006 and broadcast on TVB Jade Channel in March 2007.		
Dengeki Sentai Changeman	Japanese	1985	Fantasy, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network	Minoru Yamada, Takao Nagaishi, Nagafumi Hori	Moriyoshi Katō, Takeyuki Suzuki, Yasuhiro Tomita	55		is a Japanese television series and the ninth installment of the Super Sentai metaseries. It aired from February 2, 1985, to February 22, 1986, replacing Choudenshi Bioman and was replaced by Choushinsei Flashman running for 55 episodes, making it the second longest after Himitsu Sentai Goranger. It is the third Super Sentai series after J.A.K.Q. Dengekitai and Battle Fever J where the Yellow Ranger is absent, followed by 2013's Zyuden Sentai Kyoryuger, 2019's Kishiryu Sentai Ryusoulger and 2024...		
J.A.K.Q. Dengekitai	Japanese	1977	Tokusatsu, crime fiction, science fiction, superhero fiction	All-Nippon News Network	Koichi Takemoto	Takafumi Hagino Susumu Yoshikawa	35		, known in the Philippines as Lucky Aces, is a Japanese tokusatsu television show and the second installment in the Super Sentai metaseries. It aired from 8 April to 23 December 1977, replacing Himitsu Sentai Gorenger and itself being replaced by Battle Fever J. It was created by Shotaro Ishinomori and featured 35 episodes.		
Wish Ko Lang!	Philippine	2002	Drama (film and television), Public broadcasting	GMA Network					Wish ! () is a Philippine television public service drama anthology series broadcast by GMA Network. Originally hosted by Bernadette Sembrano, it premiered on June 29, 2002 on the network's Saturday afternoon line up. The series concluded on February 15, 2020 with a total of 983 episodes. The series returned on July 11, 2020. Vicky Morales currently serves as the host. The series is streaming online on YouTube.		
Timothy Goes to School	Chinese	2000	Children's television series, Preschool	CTV 2 Alberta, Citytv Saskatchewan, Knowledge Network, PBS, TVO	Gary Hurst		26		Timothy Goes to School is a preschool children's animated television series based on books by Rosemary Wells (including the book of the same name). The series is a co-production with Nelvana Limited and Animation Services (Hong Kong) Limited and Silver Lining Entertainment Limited, produced in association with PBS and TVOntario and with the participation of Knowledge Network, Access and Saskatchewan Communications Network. The show premiered on September 30, 2000, and aired its final episode on ...		
The Mobile Cop Jiban	Japanese	1989	Biopunk, Cyberpunk, Police drama, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network, TV Asahi	Michio Konishi		52		thumb|TV series logo. thumb|TV series international logo. is a Japanese tokusatsu television series which serves as the 8th entry in the Metal Hero Series franchise, and the first entry in the Heisei period. Produced by Toei and aired by TV Asahi in Japan from January 29, 1989, to January 28, 1990, it ran for 52 episodes and a feature movie released on July 15, 1989. According to Toei's International Sales & Promotion Department, the series' international English title is referred to as just sim...		
Sesame Street in Japan	Japanese								Sesame Street in Japan 0 3777815 1313687656 1292285774 2025-09-27T16:39:52Z Ugggsw 45227015 1313687656 wikitext text/x-wiki The American children's television series has a long history in Japan, airing for three decades as a dubbed program, and recently restarting as a local co-production. There was also a manga published from 1990 to 1992 unrelated to this. Sesame Street also has an official Japanese YouTube channel that was made during 2014. It uploads Sesame Street content, dubbed in Japanese...	An article in The Japan Times reported that the show was suffering from low ratings in its early months: &quot;Viewers are complaining about the differences in the characters' voices compared with the NHK-aired version and about the exclusive use of Japanese.&quot;&lt;ref&gt;&lt;/ref&gt;	
Kamen Rider Amazon	Japanese	1974	Action fiction, Adventure, Fantasy, Horror fiction, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network, TV Asahi	Masahiro Tsukada		24	Tōru Okazaki, Akiji Kobayashi, Yōji Matsuda, Mariko Matsuoka, Ryūji Saikachi, Ushio Akashi, Ritsuo Sawa, Hirohisa Nakata, Osamu Saka, Gorō Naya	is a Japanese tokusatsu, horror, adventure television series. The fourth installment to be produced as part of the Kamen Rider Series, the series aired in Japan from late 1974 to early 1975 on the NET and Mainichi Broadcasting System. It was the shortest Kamen Rider series ever, lasting only 24 episodes. While this was believed to be due to the show's heavy amounts of graphic violence, in reality, this was due to a pre-planned changeover between networks airing the program, from NET and its ANN ...		
News on Q	Philippine	2005	News broadcasting	Q	Pye Cruz Gravador				News on Q is a Philippine television news broadcasting show broadcast by QTV. Originally anchored by Ivan Mayrina and Rhea Santos, it premiered on November 11, 2005. The show concluded on February 18, 2011. Mayrina and Connie Sison served as the final anchors.		
Balitanghali	Philippine	2005	News broadcasting	GMA News TV, GTV, Q, [[GMA News TV]], [[GTV |GTV]], [[Q |QTV/Q]]	'''weekdays''' Jeannie Gualberto Lirio Dayao Ricky Patrimonio '''weekends''' Mimi Yapchiongco				Balitanghali (formerly Balita Ko) is a Philippine television news broadcasting show produced by GMA Integrated News. Originally anchored by Pia Arcangel and Raffy Tima, it premiered on November 11, 2005, on QTV. The show was carried over on GMA News TV on February 28, 2011, and on GTV on February 22, 2021. Tima and Connie Sison currently serve as the anchors.		
